variable,Stargazer_Output
family_connection_ratio,-0.011*** (0.003)
family_ownership_pct,-0.003** (0.001)
state_ownership_pct,-0.004 (0.003)
foreign_ownership_total_pct,-0.002 (0.007)
rw_page_rank_4q_lag,0.003 (0.005)
rw_out_degree_4q_lag,-0.018* (0.008)
camel_roa,-0.086*** (0.011)
camel_npl_ratio,0.010*** (0.002)
camel_tier1_capital_ratio,0.016*** (0.003)
crisis_2004,-0.000 (0.003)
crisis_2008,0.001 (0.001)
crisis_2014,0.001 (0.001)
family_connection_ratio_x_crisis_2004,-0.008 (0.028)
family_connection_ratio_x_crisis_2008,-0.003 (0.008)
family_connection_ratio_x_crisis_2014,-0.008 (0.006)
Observations,142222
Subjects,1092
Events,770
Log Likelihood,-4837.91
AIC Partial,9705.83
-log2(p) LLR,72.17
C-index,0.698
