variable,M1: Temporal FCR (Scaled),M2: + Bank Controls,M4: Full Model + Ownership,M3: + Network Controls,M1: Temporal FCR (Scaled),M1: Baseline (FCR Only),M5: Full + Stratified
rw_page_rank_4q_lag,1.031*** (0.003),,1.031*** (0.003),1.031*** (0.003),1.031*** (0.003),,1.031*** (0.003)
rw_out_degree_4q_lag,0.937*** (0.015),,0.937*** (0.015),0.936*** (0.015),0.937*** (0.015),,0.932*** (0.015)
family_connection_ratio_temporal_lag,1.009 (0.014),1.012 (0.013),1.009 (0.014),1.009 (0.015),1.009 (0.014),1.011 (0.013),1.009 (0.014)
camel_roa,0.926*** (0.011),0.933*** (0.010),0.926*** (0.011),0.930*** (0.010),0.926*** (0.011),,0.926*** (0.011)
camel_npl_ratio,1.024*** (0.002),1.024*** (0.002),1.024*** (0.002),1.024*** (0.002),1.024*** (0.002),,1.025*** (0.002)
camel_tier1_capital_ratio,1.042*** (0.004),1.045*** (0.003),1.042*** (0.004),1.042*** (0.004),1.042*** (0.004),,1.042*** (0.004)
family_ownership_pct,0.997 (0.002),,0.997 (0.002),,0.997 (0.002),,0.997 (0.002)
foreign_ownership_total_pct,1.011 (0.009),,1.011 (0.009),,1.011 (0.009),,1.008 (0.010)
state_ownership_pct,0.987 (0.009),,0.987 (0.009),,0.987 (0.009),,0.987 (0.009)
Observations,20656,20656,20656,20656,20656,20656,20656
Subjects,2418,2418,2418,2418,2418,2418,2418
Events,1117,1117,1117,1117,1117,1117,1117
Log Likelihood,-8179.87,-8218.70,-8179.87,-8182.73,-8179.87,-8377.09,-8107.96
AIC Partial,16377.74,16445.41,16377.74,16377.46,16377.74,16756.19,16233.92
-log2(p) LLR,261.78,221.62,261.78,266.61,261.78,1.18,263.28
C-index,0.610,0.551,0.610,0.600,,0.500,0.610
