variable,Model 2: +Family,Model 5: +Topology,Model 4: +State,Model 3: +Foreign,Model 1: Controls,Model 6: Full
const,-5.329*** (0.049),-4.865*** (0.055),-5.499*** (0.049),-5.377*** (0.051),-5.523*** (0.045),-4.809*** (0.055)
camel_tier1_capital_ratio,1.930*** (0.473),1.382** (0.526),2.029*** (0.474),1.948*** (0.484),2.054*** (0.474),1.346* (0.528)
camel_npl_ratio,0.020*** (0.002),0.023*** (0.002),0.022*** (0.002),0.021*** (0.002),0.021*** (0.002),0.022*** (0.002)
camel_roa,-0.584*** (0.116),-0.630*** (0.112),-0.602*** (0.113),-0.602*** (0.130),-0.594*** (0.116),-0.631*** (0.112)
camel_liquid_assets_ratio,-0.286 (0.634),-0.855 (0.691),-0.267 (0.641),-0.531 (0.655),-0.197 (0.627),-0.927 (0.697)
family_FOP,-0.003 (0.003),,,,,-0.004 (0.003)
family_rho_F,-0.951*** (0.226),,,,,-0.403* (0.164)
Observations,151428,151428,151428,151428,151428,151428
Subjects,1101,1101,1101,1101,1101,1101
Events,774,774,774,774,774,774
Log Likelihood,-4720.07,-4627.37,-4747.66,-4710.19,-4755.29,-4602.83
AIC,9454.13,9270.73,9509.32,9434.37,9520.59,9233.67
AUC,0.674,0.709,0.655,0.690,0.639,0.719
Optimal Threshold,0.019,0.025,0.018,0.022,0.018,0.015
Accuracy,0.986,0.989,0.985,0.988,0.985,0.982
Precision,0.036,0.044,0.035,0.041,0.035,0.032
Recall,0.065,0.058,0.070,0.059,0.070,0.089
F1 Score,0.046,0.050,0.047,0.049,0.047,0.047
network_page_rank,,-0.001 (0.005),,,,0.002 (0.005)
network_betweenness,,-0.000* (0.000),,,,-0.000** (0.000)
network_C_b,,-0.109*** (0.009),,,,-0.092*** (0.009)
state_SOP,,,-0.027 (0.023),,,-0.023 (0.017)
state_SCP,,,-0.000 (0.000),,,0.000* (0.000)
foreign_FOP_t,,,,-0.000 (0.000),,0.000* (0.000)
foreign_FEC_d,,,,-0.007** (0.002),,-0.003* (0.001)
